property_id,area_sqft,bedrooms,build_year,city,street_type,furnishing,property_type,has_pool,price,is_price_outlier,price_per_sqft,property_age,area_bucket,is_luxury
1,2473.19,4,1992,Jaipur,Residential Lane,Furnished,Apartment,No,568486.0,False,229.86,34,2000-2500,False
2,2353.47,4,2006,Indore,Corner Plot,Unfurnished,Apartment,Yes,577214.0,False,245.26,20,2000-2500,False
3,2212.22,3,2012,Jaipur,Highway Facing,Semi-Furnished,Duplex,No,581300.0,False,262.77,14,2000-2500,False
4,2823.89,6,1993,Lucknow,Main Road,Unfurnished,Villa,Yes,794614.0,False,281.39,33,2500-3000,False
5,1869.65,5,2012,Jaipur,Corner Plot,Semi-Furnished,Apartment,No,493086.0,False,263.73,14,1500-2000,False
6,2073.8,5,1986,Kanpur,Residential Lane,Semi-Furnished,Apartment,No,470693.0,False,226.97,40,2000-2500,False
7,2103.04,3,2020,Indore,Corner Plot,Unknown,Apartment,No,552164.0,False,262.56,6,2000-2500,False
8,4316.82,6,2008,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,988286.82,True,228.94,18,3000+,True
9,2520.17,4,2019,Prayagraj,Residential Lane,Semi-Furnished,Apartment,No,583210.0,False,231.42,7,2500-3000,False
10,2382.19,3,2017,Jaipur,Gated Society,Semi-Furnished,Independent House,Yes,694155.0,False,291.39,9,2000-2500,False
11,2160.39,6,1998,Prayagraj,Residential Lane,Furnished,Apartment,No,552135.0,False,255.57,28,2000-2500,False
12,2117.21,4,2016,Lucknow,Gated Society,Semi-Furnished,Duplex,No,608117.0,False,287.23,10,2000-2500,False
13,1906.07,4,2013,Indore,Highway Facing,Semi-Furnished,Duplex,Yes,551382.0,False,289.28,13,1500-2000,False
14,1393.17,6,1990,Lucknow,Corner Plot,Semi-Furnished,Duplex,No,480838.0,False,345.14,36,1000-1500,False
15,1774.28,2,2023,Delhi,Main Road,Semi-Furnished,Apartment,No,516094.0,False,290.88,3,1500-2000,False
16,1457.84,7,1992,Kanpur,Gated Society,Semi-Furnished,Apartment,No,423867.0,False,290.75,34,1000-1500,False
17,1833.67,2,1996,Noida,Highway Facing,Furnished,Apartment,No,461212.0,False,251.52,30,1500-2000,False
18,2256.29,3,2012,Prayagraj,Main Road,Semi-Furnished,Independent House,Yes,594145.0,False,263.33,14,2000-2500,False
19,825.68,7,2016,Jaipur,Highway Facing,Semi-Furnished,Apartment,No,373669.0,False,452.56,10,<1000,False
20,2124.49,3,1990,Jaipur,Main Road,Furnished,Independent House,No,587632.0,False,276.6,36,2000-2500,False
21,2634.32,5,2020,Gurugram,Highway Facing,Furnished,Apartment,Yes,759944.0,False,288.48,6,2500-3000,False
22,2121.1,3,2024,Lucknow,Main Road,Furnished,Duplex,Yes,670503.0,False,316.11,2,2000-2500,False
23,2342.94,2,2019,Indore,Highway Facing,Unfurnished,Apartment,No,513401.0,False,219.13,7,2000-2500,False
24,2669.7,7,2009,Prayagraj,Residential Lane,Furnished,Independent House,No,741340.0,False,277.69,17,2500-3000,False
25,2777.14,2,2020,Delhi,Gated Society,Furnished,Apartment,No,767737.0,False,276.45,6,2500-3000,False
26,2676.98,2,1996,Kanpur,Gated Society,Semi-Furnished,Duplex,No,664507.0,False,248.23,30,2500-3000,False
27,1134.99,2,2012,Delhi,Gated Society,Furnished,Independent House,No,471846.0,False,415.73,14,1000-1500,False
28,3013.92,2,2012,Kanpur,Gated Society,Unfurnished,Independent House,No,692447.0,False,229.75,14,3000+,False
29,2129.82,7,2015,Delhi,Corner Plot,Furnished,Apartment,No,686516.0,False,322.34,11,2000-2500,False
30,1954.42,3,2009,Kanpur,Residential Lane,Unfurnished,Apartment,No,428810.0,False,219.41,17,1500-2000,False
31,2549.31,3,2011,Noida,Main Road,Unfurnished,Apartment,No,583833.0,False,229.02,15,2500-3000,False
32,2447.38,3,2010,Delhi,Gated Society,Unknown,Apartment,No,720548.0,False,294.42,16,2000-2500,False
33,1549.2,7,2000,Gurugram,Corner Plot,Semi-Furnished,Apartment,Yes,553767.0,False,357.45,26,1500-2000,False
34,1539.93,3,2006,Kanpur,Main Road,Furnished,Villa,No,551212.0,False,357.95,20,1500-2000,False
35,1708.78,2,1992,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,376354.0,False,220.25,34,1500-2000,False
36,2225.06,4,2024,Prayagraj,Residential Lane,Semi-Furnished,Apartment,No,509383.0,False,228.93,2,2000-2500,False
37,1836.02,5,2010,Prayagraj,Main Road,Semi-Furnished,Apartment,Yes,524827.0,False,285.85,16,1500-2000,False
38,2136.49,7,2009,Prayagraj,Main Road,Unfurnished,Independent House,No,603139.0,False,282.3,17,2000-2500,False
39,3367.19,4,1996,Gurugram,Gated Society,Furnished,Apartment,No,851078.0,False,252.76,30,3000+,False
40,2584.5,5,2017,Prayagraj,Residential Lane,Semi-Furnished,Independent House,No,654808.0,False,253.36,9,2500-3000,False
41,2129.37,3,2003,Delhi,Gated Society,Semi-Furnished,Independent House,No,638105.0,False,299.67,23,2000-2500,False
42,2389.24,5,2008,Gurugram,Corner Plot,Furnished,Villa,No,797935.0,False,333.97,18,2000-2500,False
43,2445.46,2,2017,Gurugram,Corner Plot,Furnished,Apartment,No,650435.0,False,265.98,9,2000-2500,False
44,1969.82,3,2019,Noida,Gated Society,Unfurnished,Apartment,No,528162.0,False,268.13,7,1500-2000,False
45,1875.85,5,1995,Lucknow,Main Road,Unfurnished,Apartment,No,470946.0,False,251.06,31,1500-2000,False
46,2503.46,4,2019,Noida,Main Road,Unfurnished,Apartment,No,611440.0,False,244.24,7,2500-3000,False
47,3054.07,2,2019,Delhi,Main Road,Unknown,Villa,Yes,894422.0,False,292.86,7,3000+,False
48,2575.07,2,2020,Delhi,Highway Facing,Furnished,Apartment,Yes,701929.0,False,272.59,6,2500-3000,False
49,3251.77,6,1989,Delhi,Corner Plot,Semi-Furnished,Villa,No,942094.0,False,289.72,37,3000+,True
50,2543.27,6,2023,Noida,Gated Society,Semi-Furnished,Independent House,No,779298.0,False,306.42,3,2500-3000,False
51,2688.94,2,2022,Prayagraj,Residential Lane,Semi-Furnished,Duplex,Yes,679739.0,False,252.79,4,2500-3000,False
52,5648.32,7,2003,Prayagraj,Main Road,Unfurnished,Apartment,No,1355674.05,True,240.01,23,3000+,True
53,2302.42,5,1990,Gurugram,Gated Society,Semi-Furnished,Independent House,No,690306.0,False,299.82,36,2000-2500,False
54,1764.55,7,1987,Noida,Corner Plot,Semi-Furnished,Independent House,No,544324.0,False,308.48,39,1500-2000,False
55,2556.16,2,1987,Kanpur,Main Road,Semi-Furnished,Apartment,No,532557.0,False,208.34,39,2500-3000,False
56,2011.24,5,2016,Jaipur,Gated Society,Furnished,Duplex,No,698661.0,False,347.38,10,2000-2500,False
57,2107.56,4,2004,Jaipur,Main Road,Furnished,Apartment,Yes,587094.0,False,278.57,22,2000-2500,False
58,2990.22,4,1996,Indore,Corner Plot,Furnished,Apartment,No,662008.0,False,221.39,30,2500-3000,False
59,2454.5,3,2012,Delhi,Corner Plot,Unfurnished,Independent House,Yes,678874.0,False,276.58,14,2000-2500,False
60,1148.01,5,1997,Prayagraj,Gated Society,Unfurnished,Villa,No,453967.0,False,395.44,29,1000-1500,False
61,1473.87,7,1989,Delhi,Main Road,Semi-Furnished,Duplex,Yes,648863.0,False,440.24,37,1000-1500,False
62,2954.81,2,2006,Delhi,Gated Society,Furnished,Apartment,No,744065.0,False,251.81,20,2500-3000,False
63,2320.28,6,2015,Gurugram,Gated Society,Semi-Furnished,Independent House,No,722931.0,False,311.57,11,2000-2500,False
64,1845.65,6,1998,Delhi,Highway Facing,Furnished,Apartment,Yes,641824.0,False,347.75,28,1500-2000,False
65,2384.77,3,2012,Jaipur,Residential Lane,Semi-Furnished,Independent House,No,598958.0,False,251.16,14,2000-2500,False
66,1915.15,2,1989,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,581398.0,False,303.58,37,1500-2000,False
67,2968.24,7,1986,Jaipur,Corner Plot,Unfurnished,Independent House,No,713664.0,False,240.43,40,2500-3000,False
68,2652.84,4,2018,Kanpur,Main Road,Unfurnished,Apartment,No,631656.0,False,238.11,8,2500-3000,False
69,2739.85,6,2013,Indore,Main Road,Semi-Furnished,Apartment,Yes,715326.0,False,261.08,13,2500-3000,False
70,2411.24,6,1986,Gurugram,Highway Facing,Furnished,Apartment,No,646834.0,False,268.26,40,2000-2500,False
71,1594.31,2,1987,Gurugram,Gated Society,Unfurnished,Independent House,No,473554.0,False,297.03,39,1500-2000,False
72,2538.86,3,2012,Kanpur,Gated Society,Semi-Furnished,Independent House,No,633278.0,False,249.43,14,2500-3000,False
73,2632.32,2,1998,Gurugram,Main Road,Furnished,Independent House,No,691849.0,False,262.83,28,2500-3000,False
74,2267.38,4,2001,Delhi,Main Road,Semi-Furnished,Duplex,No,722050.0,False,318.45,25,2000-2500,False
75,2639.83,7,2010,Kanpur,Residential Lane,Semi-Furnished,Apartment,No,636412.0,False,241.08,16,2500-3000,False
76,2668.27,7,2002,Gurugram,Highway Facing,Furnished,Apartment,No,716306.0,False,268.45,24,2500-3000,False
77,2097.2,2,2001,Noida,Corner Plot,Furnished,Apartment,Yes,564036.0,False,268.95,25,2000-2500,False
78,1002.83,2,2002,Jaipur,Residential Lane,Semi-Furnished,Independent House,Yes,337270.0,False,336.32,24,1000-1500,False
79,1095.84,6,1990,Indore,Residential Lane,Furnished,Independent House,No,415465.0,False,379.13,36,1000-1500,False
80,2473.12,6,2006,Kanpur,Corner Plot,Unfurnished,Apartment,Yes,603065.0,False,243.85,20,2000-2500,False
81,2638.62,7,2014,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,823165.0,False,311.97,12,2500-3000,False
82,2883.08,6,1990,Lucknow,Highway Facing,Furnished,Independent House,No,731411.0,False,253.69,36,2500-3000,False
83,3215.84,7,2022,Gurugram,Corner Plot,Furnished,Independent House,No,920438.0,False,286.22,4,3000+,True
84,2160.58,7,2019,Delhi,Gated Society,Unfurnished,Duplex,No,723076.0,False,334.67,7,2000-2500,False
85,2404.13,2,2018,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,683072.0,False,284.12,8,2000-2500,False
86,2134.08,5,2021,Kanpur,Highway Facing,Furnished,Villa,Yes,661582.0,False,310.01,5,2000-2500,False
87,1827.97,7,2017,Jaipur,Main Road,Furnished,Duplex,No,598689.0,False,327.52,9,1500-2000,False
88,2656.17,4,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,Yes,607511.0,False,228.72,3,2500-3000,False
89,2386.17,6,2017,Jaipur,Highway Facing,Unfurnished,Apartment,No,578836.0,False,242.58,9,2000-2500,False
90,1599.74,2,1988,Noida,Gated Society,Unfurnished,Apartment,No,387446.0,False,242.19,38,1500-2000,False
91,2907.84,6,2013,Lucknow,Gated Society,Semi-Furnished,Independent House,Yes,806607.0,False,277.39,13,2500-3000,False
92,2427.39,4,2011,Gurugram,Residential Lane,Furnished,Apartment,No,673112.0,False,277.3,15,2000-2500,False
93,1276.3,4,1996,Indore,Residential Lane,Semi-Furnished,Apartment,No,315242.0,False,247.0,30,1000-1500,False
94,3180.19,6,1992,Delhi,Corner Plot,Semi-Furnished,Apartment,No,804859.0,False,253.09,34,3000+,False
95,2018.9,3,2020,Delhi,Main Road,Unfurnished,Independent House,Yes,631937.0,False,313.01,6,2000-2500,False
96,1269.14,2,1993,Delhi,Gated Society,Semi-Furnished,Apartment,Yes,472178.0,False,372.05,33,1000-1500,False
97,2778.48,7,1986,Gurugram,Residential Lane,Unfurnished,Independent House,No,717074.0,False,258.08,40,2500-3000,False
98,2459.43,5,1990,Delhi,Main Road,Unfurnished,Apartment,Yes,636161.0,False,258.66,36,2000-2500,False
99,1830.14,2,1991,Delhi,Main Road,Semi-Furnished,Duplex,No,546034.0,False,298.36,35,1500-2000,False
100,1463.2,2,2016,Jaipur,Highway Facing,Furnished,Duplex,Yes,504457.0,False,344.76,10,1000-1500,False
101,1884.49,6,2013,Indore,Highway Facing,Furnished,Villa,No,640564.0,False,339.91,13,1500-2000,False
102,2963.72,5,2014,Jaipur,Corner Plot,Furnished,Duplex,No,745201.0,False,251.44,12,2500-3000,False
103,2117.57,3,2003,Lucknow,Main Road,Furnished,Apartment,No,533862.0,False,252.11,23,2000-2500,False
104,2714.62,2,1987,Gurugram,Gated Society,Semi-Furnished,Apartment,Yes,699320.0,False,257.61,39,2500-3000,False
105,2729.53,5,1992,Indore,Highway Facing,Unfurnished,Duplex,Yes,693222.0,False,253.97,34,2500-3000,False
106,2048.3,3,1991,Delhi,Gated Society,Furnished,Apartment,No,571059.0,False,278.8,35,2000-2500,False
107,1281.62,3,1985,Lucknow,Highway Facing,Furnished,Apartment,No,365456.0,False,285.15,41,1000-1500,False
108,1343.85,6,2021,Kanpur,Main Road,Semi-Furnished,Apartment,No,435202.0,False,323.85,5,1000-1500,False
